focus,lookahead,ruleToUse
LVALUE_TAIL,LPAREN,NULL
LVALUE_TAIL,OR,NULL
LVALUE_TAIL,TO,NULL
LVALUE_TAIL,RBRACK,NULL
LVALUE_TAIL,GREATEREQ,NULL
LVALUE_TAIL,NULL,NULL
LVALUE_TAIL,LESSEREQ,NULL
LVALUE_TAIL,MULT,NULL
LVALUE_TAIL,EQ,NULL
LVALUE_TAIL,SEMI,NULL
LVALUE_TAIL,RPAREN,NULL
LVALUE_TAIL,GREATER,NULL
OPTIONAL_INIT,ASSIGN,ASSIGN CONST
OPTIONAL_INIT,NULL,NULL
OPTIONAL_INIT,SEMI,NULL
STAT_SEQ_TAIL,LET,STAT_SEQ
STAT_SEQ_TAIL,END,NULL
STAT_SEQ_TAIL,RETURN,STAT_SEQ
STAT_SEQ_TAIL,ENDIF,NULL
STAT_SEQ_TAIL,ELSE,NULL
STAT_SEQ_TAIL,ENDDO,NULL
STAT_SEQ_TAIL,NULL,NULL
STAT_SEQ_TAIL,WHILE,STAT_SEQ
STAT_SEQ_TAIL,BREAK,STAT_SEQ
STAT_SEQ_TAIL,ID,STAT_SEQ
STAT_SEQ_TAIL,IF,STAT_SEQ
STAT_SEQ_TAIL,FOR,STAT_SEQ
STAT,LET,LET DECLARATION_SEGMENT IN STAT_SEQ END
STAT,RETURN,RETURN EXPR SEMI
STAT,WHILE,WHILE EXPR DO STAT_SEQ ENDDO SEMI
STAT,BREAK,BREAK SEMI
STAT,ID,LVALUE STAT_ID
STAT,IF,IF EXPR THEN STAT_SEQ ELSE STAT_SEQ ENDIF SEMI
STAT,FOR,FOR ID ASSIGN EXPR TO EXPR DO STAT_SEQ ENDDO SEMI
TYPE_DECLARATION,TYPE,TYPE ID EQ TYPE SEMI
EXPR,INTLIT,A_TERM EXPR_TAIL
EXPR,ID,A_TERM EXPR_TAIL
EXPR,LPAREN,A_TERM EXPR_TAIL
EXPR,FLOATLIT,A_TERM EXPR_TAIL
NOT_ID_EXPR_START,INTLIT,CONST
NOT_ID_EXPR_START,LPAREN,LPAREN EXPR RPAREN
NOT_ID_EXPR_START,FLOATLIT,CONST
CONST,INTLIT,INTLIT
CONST,FLOATLIT,FLOATLIT
